customer_id,segment_name,campaign_cost,monetary,recency,ticket_count_90d,cumulative_cost
CUST00713,Needs Service Recovery,40,9076.15,3,2.0,40
CUST02272,Needs Service Recovery,40,8117.28,59,2.0,80
CUST00263,Needs Service Recovery,40,7940.0,25,2.0,120
CUST00042,Needs Service Recovery,40,7523.74,87,2.0,160
CUST01115,Needs Service Recovery,40,6722.41,17,2.0,200
CUST00654,Needs Service Recovery,40,5827.77,8,2.0,240
CUST00178,Needs Service Recovery,40,5602.76,5,2.0,280
CUST01033,Needs Service Recovery,40,5486.38,14,2.0,320
CUST00698,Needs Service Recovery,40,5318.95,14,2.0,360
CUST00152,Needs Service Recovery,40,4989.280000000001,46,3.0,400
CUST00613,Needs Service Recovery,40,4895.57,4,2.0,440
CUST00603,Needs Service Recovery,40,4869.21,10,2.0,480
CUST01984,Needs Service Recovery,40,4659.86,21,2.0,520
CUST01427,Needs Service Recovery,40,4513.07,5,2.0,560
CUST00503,Needs Service Recovery,40,4458.49,48,2.0,600
CUST01416,Needs Service Recovery,40,4155.25,50,3.0,640
CUST00110,Needs Service Recovery,40,3922.07,35,2.0,680
CUST01663,Needs Service Recovery,40,3881.61,22,2.0,720
CUST00006,Needs Service Recovery,40,3770.16,51,2.0,760
CUST00030,Needs Service Recovery,40,3435.5899999999997,5,2.0,800
CUST02250,Needs Service Recovery,40,3309.5,15,2.0,840
CUST01526,Needs Service Recovery,40,3305.24,9,2.0,880
CUST00780,Needs Service Recovery,40,3232.4,36,2.0,920
CUST02339,Needs Service Recovery,40,3093.07,31,2.0,960
CUST00447,Needs Service Recovery,40,3091.4,36,2.0,1000
CUST00438,Needs Service Recovery,40,2466.39,64,2.0,1040
CUST01546,Needs Service Recovery,40,2407.6499999999996,22,2.0,1080
CUST01430,Needs Service Recovery,40,2362.84,5,3.0,1120
CUST01180,Needs Service Recovery,40,2328.54,23,2.0,1160
CUST01155,Needs Service Recovery,40,2257.0899999999997,1,2.0,1200
CUST01736,Needs Service Recovery,40,2197.62,13,2.0,1240
CUST01729,Needs Service Recovery,40,2079.31,8,2.0,1280
CUST00332,Needs Service Recovery,40,2059.8,24,2.0,1320
CUST02108,Needs Service Recovery,40,2025.15,9,2.0,1360
CUST00139,Needs Service Recovery,40,1715.4,28,2.0,1400
CUST00179,Needs Service Recovery,40,1585.62,38,2.0,1440
CUST01075,Needs Service Recovery,40,1464.29,26,2.0,1480
CUST02346,Needs Service Recovery,40,1415.13,16,2.0,1520
CUST02060,Needs Service Recovery,40,1331.01,23,2.0,1560
CUST01770,Needs Service Recovery,40,1327.79,58,2.0,1600
CUST00831,Needs Service Recovery,40,994.8299999999999,6,2.0,1640
CUST01474,Needs Service Recovery,40,959.29,61,2.0,1680
CUST01860,Needs Service Recovery,40,914.9300000000001,1,2.0,1720
CUST01501,Needs Service Recovery,40,646.4300000000001,66,2.0,1760
CUST00965,Needs Service Recovery,40,507.14,8,2.0,1800
CUST00211,At-Risk High Value,35,27215.920000000002,90,0.0,1835
CUST01295,At-Risk High Value,35,12408.61,121,0.0,1870
CUST01360,At-Risk High Value,35,12310.69,160,0.0,1905
CUST02154,At-Risk High Value,35,11777.27,106,0.0,1940
CUST01949,At-Risk High Value,35,9603.31,136,0.0,1975
CUST00826,At-Risk High Value,35,8171.4,158,0.0,2010
CUST00726,At-Risk High Value,35,7976.49,98,0.0,2045
CUST01547,At-Risk High Value,35,7802.05,99,0.0,2080
CUST01111,At-Risk High Value,35,7703.55,95,1.0,2115
CUST01092,At-Risk High Value,35,7556.9,196,0.0,2150
CUST01384,At-Risk High Value,35,7520.42,145,0.0,2185
CUST01714,At-Risk High Value,35,7387.29,132,0.0,2220
CUST01761,At-Risk High Value,35,7359.26,89,0.0,2255
CUST00871,At-Risk High Value,35,7332.96,122,0.0,2290
CUST02287,At-Risk High Value,35,7044.49,100,0.0,2325
CUST01387,At-Risk High Value,35,6963.04,128,0.0,2360
CUST02382,At-Risk High Value,35,6958.09,89,0.0,2395
CUST00835,At-Risk High Value,35,6888.030000000001,157,0.0,2430
CUST00208,At-Risk High Value,35,6865.35,91,1.0,2465
CUST01756,At-Risk High Value,35,6859.41,90,0.0,2500
CUST00841,At-Risk High Value,35,6838.26,99,0.0,2535
CUST01404,At-Risk High Value,35,6788.52,202,0.0,2570
CUST00993,At-Risk High Value,35,6785.33,164,0.0,2605
CUST00088,At-Risk High Value,35,6774.5,98,0.0,2640
CUST00883,At-Risk High Value,35,6706.94,126,0.0,2675
CUST00201,At-Risk High Value,35,6691.56,93,1.0,2710
CUST01445,At-Risk High Value,35,6651.53,115,0.0,2745
CUST01718,At-Risk High Value,35,6556.120000000001,133,0.0,2780
CUST01148,At-Risk High Value,35,6527.14,128,0.0,2815
CUST00968,At-Risk High Value,35,6505.79,98,1.0,2850
CUST00464,At-Risk High Value,35,6495.79,106,0.0,2885
CUST00206,At-Risk High Value,35,6479.7,118,0.0,2920
CUST01285,At-Risk High Value,35,6478.76,124,0.0,2955
CUST00675,At-Risk High Value,35,6478.51,130,0.0,2990
CUST00701,At-Risk High Value,35,6476.26,122,0.0,3025
CUST00979,At-Risk High Value,35,6304.8099999999995,103,0.0,3060
CUST00981,At-Risk High Value,35,6263.0,103,0.0,3095
CUST00476,At-Risk High Value,35,6233.25,140,0.0,3130
CUST00144,At-Risk High Value,35,6186.54,86,1.0,3165
CUST00693,At-Risk High Value,35,6136.5,147,0.0,3200
CUST00990,At-Risk High Value,35,6096.85,167,0.0,3235
CUST01410,At-Risk High Value,35,6063.07,146,0.0,3270
CUST00324,At-Risk High Value,35,6039.5599999999995,274,0.0,3305
CUST01978,At-Risk High Value,35,6034.36,156,0.0,3340
CUST00879,At-Risk High Value,35,5967.77,155,0.0,3375
CUST01482,At-Risk High Value,35,5965.95,158,0.0,3410
CUST01124,At-Risk High Value,35,5960.1,172,0.0,3445
CUST00146,At-Risk High Value,35,5942.68,108,0.0,3480
CUST00646,At-Risk High Value,35,5934.01,117,0.0,3515
CUST00189,At-Risk High Value,35,5900.65,140,0.0,3550
CUST01406,At-Risk High Value,35,5888.31,222,0.0,3585
CUST01201,At-Risk High Value,35,5885.4,158,0.0,3620
CUST01352,At-Risk High Value,35,5877.57,123,0.0,3655
CUST01734,At-Risk High Value,35,5871.23,160,0.0,3690
CUST02081,At-Risk High Value,35,5848.4400000000005,166,0.0,3725
CUST01559,At-Risk High Value,35,5817.8,93,1.0,3760
CUST02393,At-Risk High Value,35,5816.6900000000005,122,0.0,3795
CUST01768,At-Risk High Value,35,5814.4400000000005,101,0.0,3830
CUST01452,At-Risk High Value,35,5779.52,116,0.0,3865
CUST01614,At-Risk High Value,35,5758.2,103,0.0,3900
CUST02214,At-Risk High Value,35,5751.179999999999,213,0.0,3935
CUST02118,At-Risk High Value,35,5739.9800000000005,93,0.0,3970
CUST01717,At-Risk High Value,35,5726.24,125,0.0,4005
CUST01817,At-Risk High Value,35,5667.97,147,0.0,4040
CUST01544,At-Risk High Value,35,5640.23,113,0.0,4075
CUST00116,At-Risk High Value,35,5635.9,143,0.0,4110
CUST01515,At-Risk High Value,35,5632.79,96,0.0,4145
CUST01004,At-Risk High Value,35,5599.9,215,0.0,4180
CUST01214,At-Risk High Value,35,5584.12,124,0.0,4215
CUST00527,At-Risk High Value,35,5554.469999999999,113,0.0,4250
CUST01824,At-Risk High Value,35,5499.38,201,0.0,4285
CUST01325,At-Risk High Value,35,5492.81,186,0.0,4320
CUST01962,At-Risk High Value,35,5467.6900000000005,142,0.0,4355
CUST00870,At-Risk High Value,35,5454.610000000001,86,0.0,4390
CUST00796,At-Risk High Value,35,5388.48,151,0.0,4425
CUST00585,At-Risk High Value,35,5368.63,113,0.0,4460
CUST00786,At-Risk High Value,35,5359.3,150,0.0,4495
CUST01730,At-Risk High Value,35,5329.4400000000005,120,0.0,4530
CUST01668,At-Risk High Value,35,5325.84,106,0.0,4565
CUST00266,At-Risk High Value,35,5306.62,158,0.0,4600
CUST01036,At-Risk High Value,35,5297.63,141,0.0,4635
CUST00392,At-Risk High Value,35,5290.95,133,0.0,4670
CUST01490,At-Risk High Value,35,5285.2,122,0.0,4705
CUST00366,At-Risk High Value,35,5279.17,92,0.0,4740
CUST01034,At-Risk High Value,35,5240.5599999999995,100,0.0,4775
CUST00252,At-Risk High Value,35,5194.02,190,0.0,4810
CUST00535,At-Risk High Value,35,5156.9,138,0.0,4845
CUST00114,At-Risk High Value,35,5133.53,239,0.0,4880
